Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,5,9,18,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,12,21,22,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,1,10,19,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,9,2,16,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,5,10,21,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,6,13,1,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,6,29,22,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,7,19,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,11,24,4,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,21,21,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,3,13,15,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,2,20,3,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,2,5,6,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,7,1,13,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,8,24,8,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,10,19,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,7,4,2,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,9,6,2,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,9,5,12,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,17,1,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,1,14,13,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,8,20,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,5,12,9,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,10,27,16,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,5,12,16,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,16,13,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,20,4,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,12,27,0,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,8,7,1,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,2,23,16,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,11,29,10,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,9,4,19,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,11,29,21,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,5,14,10,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,7,9,3,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,8,14,17,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,10,20,23,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,9,1,16,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,26,17,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,6,12,2,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,12,23,6,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,18.0,,2024,3,31,2,6,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,27,21,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,9,30,4,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,11,23,4,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,5,2,13,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,5,8,10,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,11,13,20,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,8,21,23,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,29,9,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,10,28,2,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,2,16,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,10,31,12,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,9,26,9,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,3,23,2,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,7,3,0,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,13,12,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,4,18,20,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,10,5,2,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,6,2,5,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,27,22,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,11,13,14,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,11,15,15,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,6,2,11,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,10,14,2,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,7,31,3,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,12,7,2,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,8,11,0,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,17,7,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,10,11,3,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,6,1,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,6,13,6,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,23,8,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,1,17,10,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,25,6,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,2,20,9,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,3,26,3,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,11,10,15,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,5,11,7,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,2,2,19,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,12,26,16,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,2,20,18,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,6,17,4,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,10,17,2,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,8,3,4,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,7,11,1,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,6,19,3,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,5,8,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,28,1,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,6,10,14,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,11,3,18,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,4,18,6,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,9,18,0,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,9,2,8,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,12,30,18,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,8,6,16,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,11,12,13,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,6,12,21,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,2,23,11,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,5,10,20,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,7,3,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,8,15,10,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,7,23,20,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,1,23,23,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,1,31,22,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,5,17,20,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,1,26,18,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,8,19,16,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,2,19,10,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,5,15,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,12,18,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,3,20,10,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,3,14,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,12,10,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,10,10,15,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,7,2,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,11,12,7,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,9,7,11,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,14,23,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,22,5,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,2,2,5,True,,,0,,
John Smiths/Pink,Machine Stop,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",17.0,Short Stop,2022,1,27,8,3,False,,,1,,
Strongbow/Yellow,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",17.0,Short Stop,2023,9,11,10,0,False,9.0,,0,,
Heineken/Orange,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",18.0,Short Stop,2022,1,23,23,6,True,9.0,9.0,0,,
John Smiths/Pink,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",18.0,Short Stop,2022,4,11,4,0,False,9.0,9.0,0,,
Strongbow/Yellow,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",18.0,Short Stop,2024,1,17,5,2,False,9.0,9.0,0,,
John Smiths/Pink,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",17.0,Short Stop,2021,6,20,7,6,True,9.0,9.0,0,,
Fosters/Green,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",17.0,Short Stop,2022,10,9,22,6,True,9.0,9.0,0,,
Heineken/Orange,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",17.0,Short Stop,2024,2,28,19,2,False,9.0,9.0,0,,
John Smiths/Pink,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",17.0,Short Stop,2023,7,25,15,1,False,9.0,9.0,0,,
Strongbow/Yellow,no failure,De-palletiser,Discharge Conveyors,Sensor mis-aligned,9.0,"Sensor fault pallet discharge conveyor, Operater had to access de-pal clean and allign sensor and perform reset.",18.0,Short Stop,2022,2,24,23,3,False,9.0,9.0,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,2,24,23,4,False,9.0,9.0,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,21,19,0,False,,9.0,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,1,13,0,False,,,0,,
