Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,12,19,14,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,9,27,6,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,13,21,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,30,20,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,12,6,3,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,18,18,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,5,21,5,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,6,3,21,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,3,19,23,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,12,10,13,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,10,22,3,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,16,19,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,18,12,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,6,4,14,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,12,16,22,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,10,16,15,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,5,27,19,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,8,16,19,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,6,12,20,6,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,10,9,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,24,10,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,3,8,14,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,1,14,18,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,11,20,5,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,12,4,17,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,4,22,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,2,18,16,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,8,6,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,5,4,12,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,8,5,12,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,18,9,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,5,23,23,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,1,17,11,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,9,27,16,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,5,26,7,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,30,21,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,4,29,13,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,11,4,22,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,4,30,21,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,2,16,4,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,7,18,0,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,10,15,13,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,22,8,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,7,30,8,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,2,3,2,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,1,24,11,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,16,9,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,15,5,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,1,7,22,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,8,16,18,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,4,3,7,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,6,29,6,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,16,22,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2024,1,2,10,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,4,27,19,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,1,11,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,6,0,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,1,7,8,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,1,10,15,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,10,18,12,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,9,26,6,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,6,2,20,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,5,29,21,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,5,17,22,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,11,22,7,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,4,25,22,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,10,5,7,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,11,5,17,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,6,17,13,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,6,26,1,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,10,21,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,4,13,11,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,22,19,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,17,16,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,4,3,3,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,2,20,4,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,11,9,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,7,25,20,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,4,14,21,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,8,20,6,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,12,13,22,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,1,22,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,3,2,11,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,11,26,14,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,3,2,6,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,14,18,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,11,1,16,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,9,11,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,4,30,20,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,12,26,6,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,8,31,10,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,29,16,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,8,28,13,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,11,7,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,1,23,13,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,10,30,20,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,7,10,13,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,6,13,5,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,8,1,12,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,5,18,3,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,5,3,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,12,1,9,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,2,21,15,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2024,1,21,19,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,8,12,3,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,6,9,1,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,12,4,22,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,23,3,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,11,21,9,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,6,4,11,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,2,20,17,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,1,8,16,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,10,23,17,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,12,16,11,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,8,5,13,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,5,17,16,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,10,3,22,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,9,24,16,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,12,12,6,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,14,1,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,10,19,3,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,3,26,5,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,11,2,14,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,3,18,0,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2024,2,26,9,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,4,5,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,9,8,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,5,18,9,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,6,14,4,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,10,30,9,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,9,3,21,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,7,15,23,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,2,20,23,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,6,19,12,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,7,20,12,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,1,18,18,1,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,22,8,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,10,13,23,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,11,17,3,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,11,1,22,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,7,31,3,6,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,18.0,,2024,3,22,15,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,10,5,17,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,6,20,4,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,22,15,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,17,21,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,6,17,8,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,1,18,10,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,4,25,23,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,2,6,8,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,3,7,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,3,30,5,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,3,19,16,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,4,12,7,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,8,20,14,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,4,11,6,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,20,9,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,2,25,14,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,8,13,10,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,1,10,23,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,8,5,17,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,6,30,10,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,8,19,5,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,16,2,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,9,17,20,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,1,24,21,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,6,30,18,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,8,2,20,1,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,18.0,,2024,3,24,18,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,9,4,2,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,12,30,0,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,8,24,5,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,6,29,21,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,11,6,13,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,11,26,10,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,26,11,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,9,14,8,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,9,11,17,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,7,26,5,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,10,13,19,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,10,22,0,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,11,4,11,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,4,5,16,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,8,22,8,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,6,25,17,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,12,6,13,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,4,27,21,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,9,25,23,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,26,8,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,5,25,3,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,24,5,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,15,11,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,2,20,16,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,6,2,17,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,8,17,4,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,2,15,15,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,11,2,19,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,12,26,0,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,12,18,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,9,11,19,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,17,16,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,3,27,20,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,4,3,8,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,11,23,9,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,29,21,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,9,7,4,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,24,15,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,22,5,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,11,17,21,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,9,15,7,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,9,4,20,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,7,23,4,4,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,30,13,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,9,18,12,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,4,4,3,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,5,2,23,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,12,17,8,6,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,22,3,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,11,22,14,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,3,20,13,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,12,5,15,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,10,26,1,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,7,26,10,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,10,10,17,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,1,30,16,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,10,29,21,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,12,9,5,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,12,16,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,9,30,22,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,11,21,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,7,10,17,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,5,19,11,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,4,1,22,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,8,30,8,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2024,4,15,0,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,7,12,14,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,25,6,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,12,8,23,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,3,2,22,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,11,29,3,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,15,14,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,1,10,11,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,15,3,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,12,31,4,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,12,6,17,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,4,6,11,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,5,4,20,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,22,12,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,8,8,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,12,21,11,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,10,19,4,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,9,4,15,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,5,18,0,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,1,27,11,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,12,31,23,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,6,24,4,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,5,3,20,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,17,14,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,7,21,7,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,23,3,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,3,17,16,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,9,4,18,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,12,20,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,10,4,0,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,9,7,22,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,3,30,11,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,6,28,4,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,16,17,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,8,22,12,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,6,15,17,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,12,6,13,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,11,10,5,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,12,3,8,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,14,2,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,16,4,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,9,5,2,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,7,3,18,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,21,10,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,2,9,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,12,29,12,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,4,17,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,5,16,8,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,14,1,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,5,1,15,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,9,1,0,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,5,16,1,1,False,,,0,,
