Index,Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,MachineStopType
755505,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,12.0,,17,Breakdown
755646,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,top frame snapped,17,Breakdown
755870,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,23.0,Pallet jammed in lift,17,Short Stop
756342,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,7.0,top frame dropped into lift. Entered to remove,17,Short Stop
756538,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,5.0,pallet stack tripped lightgaurd,17,Short Stop
756633,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,3.0,lightguard tripped,17,Short Stop
756838,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,8.0,sweep crashed cans,17,Short Stop
756918,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,8.0,lightguard tripped,17,Short Stop
756953,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,11.0,MB Light guard tripped and had to be re alligned.,17,Short Stop
757028,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,14.0,empty pallet jammed,17,Short Stop
757033,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Setup and adjustments,6.0,ops making slight adjustments to arm,17,Short Stop
757296,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,6.0,pallet jam,17,Short Stop
757360,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,21.0,Pallet smashed in lift damaging cans operator had to access de-pal remove damaged cans and perform reset.,17,Short Stop
757610,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,Trapped pallet,17,Short Stop
757645,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,6.0,Caused cans to gap to filler.,17,Short Stop
757644,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,4.0,Caused cans to gap.,17,Short Stop
757836,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,12.0,jammed pallet waiting to fill empty can conveyor up,17,Short Stop
758104,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,8.0,MB Twisted  pallet jammed on infeed chain.,17,Short Stop
758135,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,17.0,MB Full stack jammed in lift had to enter the machine to remove.,17,Short Stop
758150,Strongbow/Yellow,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,MB Broken top fram fell between two unbanded pallets and a layer card swept on to the mesh.,17,Short Stop
758169,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,7.0,jammed pallet on outfeed line emptied out,17,Short Stop
758181,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,15.0,sweep arm damaged full layer opertator removing debri,17,Short Stop
758183,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,17.0,sweep arm damaged full layer opertator removing debri,17,Short Stop
758212,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,21.0,Top frames fallen inside machine. Stopped to go inside and clear out.,17,Short Stop
758351,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,14.0,pallet jammed whilst line 18 down,17,Breakdown
758388,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,5.0,,17,Short Stop
758809,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,20.0,Pallet woudlt come up after going in to clear a jam,17,Short Stop
758865,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,20.0,top frame fell in lift.,17,Short Stop
758890,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,38.0,,17,Short Stop
759284,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,11.0,pallets not stacked correctly out of sequence,17,Short Stop
759653,John Smiths/Pink,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,13.0,,17,Breakdown
759734,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Sensor failure,3.0,light barrier tripped operator solving,17,Short Stop
760186,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,11.0,Top frame smashed,17,Breakdown
760968,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,,17,Short Stop
760966,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,15.0,snapped top frame fell into machine. Operator had to manually remove,17,Short Stop
761389,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,5.0,layer card jam,17,Short Stop
761400,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,top frame fell into lift operator having to enter to remove,17,Short Stop
761401,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Fault not listed,9.0,empty pallet failed to go into layer and top frame lifts operator had to manually put in,17,Short Stop
761420,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,21.0,pallets twisted in lift operator working to fix fault,17,Short Stop
761436,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,6.0,layer card dropped operator removing line gap created on line,17,Short Stop
761530,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Fault not listed,8.0,empty pallet jam,17,Short Stop
761543,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,12.0,layer card jam,17,Short Stop
761579,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Pallet Jammed,16.0,empty pallet discharge jam had to drop both lifts to access and remove,17,Short Stop
762223,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,31.0,Smashed top frame and part collapsed pallet,17,Short Stop
762325,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Light guard - debanding station,10.0,light guard tripped ouut,17,Short Stop
762333,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Light guard - debanding station,8.0,light guard tripped out,17,Short Stop
762698,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,5.0,layer card knocked all cans over,17,Short Stop
762802,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,14.0,knocked a full layer of cans over. Oppertor standing cans back up,17,Short Stop
763023,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,29.0,"depal down due to layer sweep jam inspecting seamer for debris due to peakers changed channel pressure and taking filler can weights, inspected chucks rollers cant see any debris weights ok - flush put on",17,Short Stop
763025,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,18.0,light guard tripped out had to reallign sensor and position it,17,Short Stop
763300,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,12.0,,17,Short Stop
763554,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Stack Jammed,9.0,pallet jam,17,Breakdown
763555,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Sensor mis-alignment,14.0,light guard fault,17,Breakdown
763574,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,23.0,empty pallets out of sync,17,Breakdown
763582,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,18.0,Pallet jam/out of sync operater had to clear jam/empty out pallets and perform reset.,17,Breakdown
763597,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Sensor mis-alignment,12.0,layer covering sensor putting empty pallet out of sync,17,Breakdown
764174,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,12.0,dropped layer boards no pallet,17,Breakdown
764216,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Pallet Jammed,7.0,,17,Breakdown
764261,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,44.0,pallet jammed empty pallet stacker - No Tecnician required or parts replaced - Tech-Ops removed jam manually,17,Short Stop
764363,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,8.0,,17,Short Stop
764406,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,6.0,,17,Short Stop
764803,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,27.0,light guard not aligned properly. Also jammed pallet on outfeed. Had to remove with metal bar as it was wedged,17,Short Stop
765382,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,5.0,pallet stuck,17,Short Stop
765383,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,15.0,pallet stuck,17,Short Stop
765474,John Smiths/Pink,Machine Stop,De-palletiser,Discharge Conveyors,Fault not listed,9.0,Messuring for a restrictor on drive chain.,17,Short Stop
765482,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,17.0,Top frame snapped operater unable to drop lifts  to access de-pal has to get override key from lodge. Seamer flush done while line was down. Crafts working on twists while line was down.,17,Short Stop
765549,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,3.0,Layer card fault caused can gapping to filler.,17,Short Stop
765953,Fosters/Green,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,6.0,,17,Short Stop
766153,John Smiths/Pink,Machine Stop,De-palletiser,Discharge Conveyors,Pallet Jammed,12.0,pallets out of sync,17,Short Stop
766303,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,7.0,discharge pallets knocked light barrier operator manually removed pallet and reset,17,Short Stop
766315,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,10.0,pallet tripped light barrier on outfeed operator removing manually,17,Short Stop
766316,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,14.0,pallets tripping light guard on outfeed,17,Short Stop
766375,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Sensor failure,13.0,Light guard keeps tripping operater re-setting.,17,Short Stop
766451,John Smiths/Pink,Machine Stop,De-palletiser,Discharge Conveyors,Sensor failure,6.0,Light guard failure out of allignment. Operater had to access de-pal to reset guard.,17,Short Stop
766465,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,17.0,Top layer crash operater had to stop de-pal remove damaged cans and perform reset.,17,Short Stop
766712,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Sensor failure,5.0,,17,Short Stop
766807,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Fallen / Jammed cans,24.0,jammed cans underneath chains conveyor stopping pallet advancing operator trying to clear,17,Short Stop
767031,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,27.0,light guards tripped,17,Short Stop
767185,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,7.0,pallet stuck,17,Short Stop
767511,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,9.0,layer board dropped,17,Breakdown
767761,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,14.0,sweep crash,17,Breakdown
768357,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,6.0,,17,Short Stop
768582,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,4.0,layer pad dropped onto empty can conveyor operator removed and removed debri,17,Short Stop
768653,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,15.0,Layer crashed,17,Breakdown
768796,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,7.0,lightguard tripped,17,Short Stop
768868,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,15.0,crash on sweep,17,Breakdown
768874,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,14.0,,17,Breakdown
769519,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,10.0,jammed top frame,17,Short Stop
769821,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Light guard - debanding station,3.0,light guard tripped,17,Short Stop
769824,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,20.0,top frames not stacked correctly in lift causing to drop on to conveyors operators removing,17,Short Stop
769925,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,6.0,pallets jammed,17,Short Stop
769957,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Light guard - debanding station,6.0,light guard out of position,17,Short Stop
770818,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,21.0,"Top frame snapped knocking half a pallet all over the infeed conveyors. operater had to access de-pal recover top frame, Remove cans off conveyor and perform reset.",17,Short Stop
770895,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Fallen / Jammed cans,21.0,jammed layer pad and fallen cans,17,Short Stop
770902,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,18.0,"pallet fallen in,operatorn had to go in and remove pallet.",17,Short Stop
771059,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,11.0,Top layer crash operater had to clear damaged cans and perform reset. Seamer flush done while line was down.,17,Short Stop
771131,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,44.0,layer card plt stuck in lifr access key required,17,Short Stop
771169,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,8.0,crashed layer had to remove,17,Short Stop
771391,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,7.0,"top frame snapped and fell onto conveyor , operator removing all debri from conveyor",17,Short Stop
771417,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,8.0,top frame dropped into lift operator removing all debri,17,Short Stop
771393,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,12.0,pallet advanced onto pallet stop then pallet stop engaged tipping full pallet on its side operators managed to place the pallet back correctly and reset,17,Short Stop
771406,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,6.0,"top frame snapped knocking multiple cans onto conveyor , operator removed all debri and reset",17,Short Stop
771418,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,15.0,broken top frame again smashed layer of cans remove manually,17,Short Stop
771487,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,6.0,layer cards not getting gripped,17,Short Stop
771488,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,35.0,Layerpad grippers not gripping cards on first 3 layers crafts moving clamps closer to cards,17,Short Stop
771499,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,6.0,,17,Short Stop
771514,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,9.0,jammed pallet in lift,17,Short Stop
771518,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Fault not listed,7.0,pallets jammed,17,Short Stop
771532,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,9.0,plt twisted not picking layer cards on any layer,17,Short Stop
771877,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Motor tripped,75.0,outfeed conveyor motor M14 keeps tripping due to chain being jammed in sprocket at bottom of layer card lift,17,Short Stop
771933,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,4.0,,17,Short Stop
772138,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,23.0,layer card jammed in chain conveyors causing a pallet jam,17,Short Stop
772448,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,16.0,crash on sweep,17,Short Stop
772482,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,21.0,Sweep crashed knocking cans all over,17,Breakdown
772512,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,20.0,sweep crash,17,Short Stop
772592,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Jammed pallet,7.0,stacker pallets fell and became jammed,17,Short Stop
772837,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Doors,13.0,safety doors for access to machine sweeper area not seeing connection craft called,17,Breakdown
772873,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,1.0,top frame stacker lift not operating not moving up or down craft in attendance having to enter to try find out the issue top sensor misaligned craft re aligned,17,Breakdown
772884,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,11.0,top frame broken and fell onto conveyor,17,Short Stop
773011,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,Clearing up jam.,17,Short Stop
773018,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,4.0,Gap from earlier layer pad issue.,17,Short Stop
773166,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,19.0,PALLET FAELL INTO LIFT,17,Short Stop
773098,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,40.0,am team measuring up and making adjustments for theiir projects,17,Short Stop
773102,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,29.0,twisted pallet going into lift,17,Short Stop
773159,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,37.0,sweeper arm smashed all cans up,17,Short Stop
773260,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,13.0,one pallet entered lift with another following resulting in door not being able to be shut operator having to manually move pallet to resolve,17,Short Stop
773332,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Jammed pallet,11.0,pallet stuck in lift,17,Short Stop
773335,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Mis-aligned photocell,6.0,empty pallets knocked light barrier out of alignment,17,Short Stop
773362,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Fault not listed,68.0,chomper not working crafts in attendance,17,Breakdown
773384,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,9.0,light guard out of position,17,Short Stop
773513,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Doors,10.0,cans stopping pallet from entering the lift all the way preventing the lift doors to close,17,Short Stop
773528,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,9.0,sweep arm height sensor was blocked with can causing sweep arm to trigger at incorrect hieght damaging full layer operator removed all debri ande reset,17,Short Stop
773586,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,layer pads fell into lift. Stopped to enter depal and remove,17,Short Stop
773938,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,6.0,layer sweep fault,17,Short Stop
774311,Fosters/Green,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,5.0,,17,Short Stop
774391,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,6.0,empty pallet jammed not allowing new pallet to enter lift,17,Short Stop
774394,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,4.0,gap on line due to previous entry operator waiting for line to re fill,17,Short Stop
774620,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,11.0,layer card sweep crash crushing cans operator removing,17,Short Stop
774608,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,25.0,layer cards fell into lift. Stopped depal and lowered the lifts to enter and remove layer pads,17,Short Stop
774625,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,7.0,layer card not taken off by suction cups causing the layer of cans to fall operator removing,17,Short Stop
774704,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,5.0,"Operater had to access de-pal, Move jammed pallet and perform reset.",17,Short Stop
774787,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,Layer card dropped in lift. Operater had to access de-pal recover layer card and perform reset.,17,Short Stop
774854,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,9.0,,17,Short Stop
774936,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Sensor mis-aligned,9.0,,17,Short Stop
774964,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,16.0,light guard out of position,17,Short Stop
775391,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,,17,Short Stop
775407,Fosters/Green,Machine Stop,De-palletiser,Control Panel / PLC,Fault not listed,7.0,interlock sensor fault,17,Short Stop
775446,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,8.0,layer card smash,17,Short Stop
775473,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,11.0,jammed empty pallet in lift wont drive out.,17,Short Stop
776000,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,4.0,pallet jammed in lift operator moving manually v,17,Short Stop
776006,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Out of sequence,13.0,empty pallet conveyors out of sync causing full pallets to not enter lift,17,Short Stop
776010,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Out of sequence,26.0,previous entry caused line to empty which caused multiple fallen cans on air conveyors air suplly had to be turned off whilst top plates were taken off and fallen cans removed/stood back up,17,Short Stop
776017,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Jammed pallet,4.0,jammed pallet on diwscharge operator manually,17,Short Stop
776083,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,34.0,Lift height sensor mis-aligned causing layer sweep arm to crash into cans.operator removed all damed cans and reset sensor,17,Short Stop
776084,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Jammed pallet,10.0,Empty pallet stacks jamming on outfeed conveyors.,17,Short Stop
776086,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Jammed pallet,5.0,jammed pallet on outfeed,17,Short Stop
776198,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,8.0,Jammed pallet trapped on can operater had to access de-pal free jammed pallet and perform reset.,17,Short Stop
776273,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Pallet Jammed,5.0,,17,Short Stop
776299,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,7.0,not removing layer pads correctly operator cleaned vacuum cups and reset,17,Short Stop
776305,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,17.0,all layer cards fell into lift operator had to use override key to gain entry and remove all layer cards,17,Short Stop
776390,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,Snapped top frame operater had to access de-pal recover and perform reset.,17,Short Stop
776616,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,,17,Short Stop
776644,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Out of sequence,9.0,pallets out of sync operator adjusting manually,17,Short Stop
776651,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,19.0,layr sweep damaging layers of cans operators removing damaged,17,Short Stop
776667,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,10.0,sweep arm crushed layer of cans operator removing,17,Short Stop
776790,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Sensor failure,9.0,layer pad jams cleaned sensor,17,Short Stop
776848,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Out of sequence,11.0,empty pallet jam on a can then had to resync and drive pallet stack  out,17,Short Stop
776902,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,4.0,sensor fault,17,Short Stop
776957,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,4.0,pallet jam,17,Short Stop
776980,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,3.0,empty pallet jam,17,Short Stop
777049,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,17.0,layer sweep crushed cans operators removing,17,Short Stop
777016,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,12.0,bad layer card smash,17,Short Stop
777028,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,11.0,empty pallet stacked to many pallet causing empty pallet conveyors to go out of sync,17,Short Stop
777055,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Fallen / Jammed cans,26.0,can jammed underneath chain on infeed conveyor operator unable to advance pallet into lift having to try and move pallet manually being carfull not to knock pallet over as is unbanded,17,Short Stop
777217,Fosters/Green,Machine Stop,De-palletiser,Control Panel / PLC,Fault not listed,38.0,Empty pallets wouldn't drive out of de-pal. Crafts checked control cabinet to ensure conveyors hadn't tripped out. Found that there was a bent reflector on the outfeed that needed repositioning.,17,Short Stop
777225,Fosters/Green,Machine Stop,De-palletiser,Control Panel / PLC,Fault not listed,7.0,depal tripped,17,Short Stop
777309,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,8.0,,17,Short Stop
777318,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,8.0,,17,Short Stop
777397,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,15.0,,17,Short Stop
777998,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,9.0,damaged layer on sweep. Cleared damaged cans,17,Short Stop
778000,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,10.0,top frame fell onto conveyors,17,Short Stop
778004,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,11.0,layer card lift overfilled failed to leave operator manually replaced,17,Short Stop
778015,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Lightguard,4.0,"Top frame stack tripped light barrier, operator removed pallet and reset",17,Short Stop
778100,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,25.0,pallet of top frames collapsed in lift key needed to restack pallet,17,Breakdown
778287,Strongbow/Yellow,Machine Stop,De-palletiser,Control Panel / PLC,Castel Key / E-Stops,35.0,gate 5 door switch not aligned,17,Short Stop
778316,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,14.0,pallets jammed,17,Short Stop
778320,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,18.0,pallets wont drive out,17,Short Stop
